,Unnamed: 0,Datetime,Tweet Id,Text,Tweet_tokenized,sentiment
0,0,2020-06-22 18:59:35,1275141399638310914,    rig  election  million OF mail in ballot will BE print BY foreign countries  and others  IT will BE the sca ,"['rig', 'election', 'million', 'OF', 'mail', 'in', 'ballot', 'will', 'BE', 'print', 'BY', 'foreign', 'countries', 'and', 'others', 'IT', 'will', 'BE', 'the', 'sca']",negative
1,1,2020-06-22 18:58:17,1275141071316619270,    barr  mail in ballot  absolut open floodgat fraud  https   t co vdadepb via  breitbartnews  thi will ,"['barr', 'mail', 'in', 'ballot', 'absolut', 'open', 'floodgat', 'fraud', 'https', 't', 'co', 'vdadepb', 'via', 'breitbartnews', 'thi', 'will']",neutral
2,2,2020-06-22 18:58:00,1275141003050135553,    rig  election  million OF mail in ballot will BE print BY foreign countries  and others  IT will BE the sca ,"['rig', 'election', 'million', 'OF', 'mail', 'in', 'ballot', 'will', 'BE', 'print', 'BY', 'foreign', 'countries', 'and', 'others', 'IT', 'will', 'BE', 'the', 'sca']",negative
3,3,2020-06-22 18:57:00,1275140748401401859,    becaus mail in ballots   rig elect nation histori   unless stupid en ,"['becaus', 'mail', 'in', 'ballots', 'rig', 'elect', 'nation', 'histori', 'unless', 'stupid', 'en']",negative
4,4,2020-06-22 18:54:42,1275140171483226115,  ekww  oklahoma    primari elect    june    are registered  https   t co zbtobiwr know poll place  https    ,"['ekww', 'oklahoma', 'primari', 'elect', 'june', 'are', 'registered', 'https', 't', 'co', 'zbtobiwr', 'know', 'poll', 'place', 'https']",positive
5,5,2020-06-22 18:52:44,1275139675087187968,  ekww  oklahoma    primari elect    june    are registered  https   t co zbtobiwr know poll place  https    ,"['ekww', 'oklahoma', 'primari', 'elect', 'june', 'are', 'registered', 'https', 't', 'co', 'zbtobiwr', 'know', 'poll', 'place', 'https']",positive
6,6,2020-06-22 18:50:27,1275139100962586625,  ekww  oklahoma    primari elect    june    are registered  https   t co zbtobiwr know poll place  https    ,"['ekww', 'oklahoma', 'primari', 'elect', 'june', 'are', 'registered', 'https', 't', 'co', 'zbtobiwr', 'know', 'poll', 'place', 'https']",positive
7,7,2020-06-22 18:49:54,1275138964077363200,  ekww  colorado    primari elect    june    are registered  https   t co zbtokt know poll place  https    ,"['ekww', 'colorado', 'primari', 'elect', 'june', 'are', 'registered', 'https', 't', 'co', 'zbtokt', 'know', 'poll', 'place', 'https']",positive
8,8,2020-06-22 18:46:23,1275138078978514954,  ruthymunoz  contrari potu tweet absente vote  scandalofourtimes  articl april show su ,"['ruthymunoz', 'contrari', 'potu', 'tweet', 'absente', 'vote', 'scandalofourtimes', 'articl', 'april', 'show', 'su']",positive
9,9,2020-06-22 18:45:09,1275137766192488448,  ekww  colorado    primari elect    june    are registered  https   t co zbtokt know poll place  https    ,"['ekww', 'colorado', 'primari', 'elect', 'june', 'are', 'registered', 'https', 't', 'co', 'zbtokt', 'know', 'poll', 'place', 'https']",positive
10,10,2020-06-22 18:43:59,1275137472679346178,  ekww  oklahoma    primari elect    june    are registered  https   t co zbtobiwr know poll place  https    ,"['ekww', 'oklahoma', 'primari', 'elect', 'june', 'are', 'registered', 'https', 't', 'co', 'zbtobiwr', 'know', 'poll', 'place', 'https']",positive
11,11,2020-06-22 18:43:47,1275137423559856132,  ekww  oklahoma    primari elect    june    are registered  https   t co zbtobiwr know poll place  https    ,"['ekww', 'oklahoma', 'primari', 'elect', 'june', 'are', 'registered', 'https', 't', 'co', 'zbtobiwr', 'know', 'poll', 'place', 'https']",positive
12,12,2020-06-22 18:38:38,1275136128086147073,  democracyinn  breaking  As trump continu tweet lie  rigged  elect due mail in ballots  import rememb t ,"['democracyinn', 'breaking', 'As', 'trump', 'continu', 'tweet', 'lie', 'rigged', 'elect', 'due', 'mail', 'in', 'ballots', 'import', 'rememb', 't']",negative
13,13,2020-06-22 18:36:38,1275135625973444612,   stevehiltonx  foxnew your elect  tragic result usa    ,"['stevehiltonx', 'foxnew', 'your', 'elect', 'tragic', 'result', 'usa']",negative
14,14,2020-06-22 18:35:51,1275135428669120512,    rig  election  million OF mail in ballot will BE print BY foreign countries  and others  IT will BE the sca ,"['rig', 'election', 'million', 'OF', 'mail', 'in', 'ballot', 'will', 'BE', 'print', 'BY', 'foreign', 'countries', 'and', 'others', 'IT', 'will', 'BE', 'the', 'sca']",negative
15,15,2020-06-22 18:31:50,1275134418642825217,    rig  election  million OF mail in ballot will BE print BY foreign countries  and others  IT will BE the sca ,"['rig', 'election', 'million', 'OF', 'mail', 'in', 'ballot', 'will', 'BE', 'print', 'BY', 'foreign', 'countries', 'and', 'others', 'IT', 'will', 'BE', 'the', 'sca']",negative
